Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Predicted_AI_Impact
Quantitative Research Analyst,75,168,1096,0.1532846715328467,Construction,69.63333333333334
Report Developer,75,146,969,0.1506707946336429,Sales & Marketing,59.333333333333336
Sas Developer,75,133,932,0.1427038626609442,Hospitality,60.196666666666665
Statistical Analyst,75,166,1087,0.1527138914443422,Communication & PR,65.37
Backend Developer,75,144,1012,0.1422924901185771,Data & IT,59.626666666666665
Data Architect,75,162,1081,0.1498612395929695,Administrative & Clerical,56.68666666666667
Database Designer,75,162,1081,0.1498612395929695,Leadership & Strategy,67.32
Database Engineer,75,12,55,0.2181818181818181,Medical & Healthcare,70.63666666666667
Gis Developer,75,9,48,0.1875,Supply Chain & Logistics,72.06666666666666
Informatica Developer,75,131,925,0.1416216216216216,Law Enforcement,69.06333333333333
Ui Developer,75,152,1088,0.1397058823529411,Construction,61.73
Ux Developer,75,9,48,0.1875,Sales & Marketing,71.78333333333333
Stenographer,75,8,49,0.1632653061224489,Hospitality,57.96666666666667
Allocation Analyst,74,155,1102,0.1406533575317604,Communication & PR,61.41
Business Operations Manager,71,163,1330,0.1225563909774436,Data & IT,59.776666666666664
Ecommerce,70,161,1513,0.1064111037673496,Administrative & Clerical,55.63333333333333
Solar Sales,70,128,1153,0.1110147441457068,Leadership & Strategy,55.15
Developer,70,139,992,0.1401209677419354,Medical & Healthcare,45.06
Javascript Developer,70,150,1039,0.1443695861405197,Supply Chain & Logistics,37.7
Perl Developer,70,129,927,0.1391585760517799,Law Enforcement,65.52333333333333
Pega Developer,70,132,932,0.1416309012875536,Construction,64.19
Sap Developer,70,131,929,0.1410118406889128,Sales & Marketing,67.53
Clinical Informatics Specialist,70,140,996,0.1405622489959839,Hospitality,53.21666666666667
Cloud Engineer,70,152,1013,0.1500493583415597,Communication & PR,52.71666666666667
Data Scientist,70,180,1091,0.1649862511457378,Data & IT,52.876666666666665
Database Programmer,70,160,1022,0.1565557729941291,Administrative & Clerical,63.5
Information Assurance,70,8,46,0.1739130434782608,Leadership & Strategy,64.63333333333334
Oracle Developer,70,8,46,0.1739130434782608,Medical & Healthcare,63.75
Sql Database Developer,70,10,49,0.2040816326530612,Supply Chain & Logistics,70.13666666666667
Sql Developer,70,10,49,0.2040816326530612,Law Enforcement,70.08666666666667
Sql Server Developer,70,10,49,0.2040816326530612,Construction,69.55
Teradata Developer,70,8,46,0.1739130434782608,Sales & Marketing,64.53333333333333
Net Developer,70,8,46,0.1739130434782608,Hospitality,67.66666666666667
Sports Analyst,70,9,50,0.18,Communication & PR,62.983333333333334
Chief Of Police,70,122,1047,0.1165234001910219,Data & IT,39.126666666666665
Emergency Dispatcher,70,156,1015,0.1536945812807881,Administrative & Clerical,53.04
Investigative Analyst,70,194,1175,0.1651063829787234,Leadership & Strategy,53.70333333333333
Police Dispatcher,70,164,1039,0.1578440808469682,Medical & Healthcare,62.36666666666667
Polygraph Examiner,70,101,770,0.1311688311688311,Supply Chain & Logistics,58.75
Public Safety Dispatcher,70,164,1039,0.1578440808469682,Law Enforcement,64.47666666666667
Regulatory Analyst,70,183,1105,0.1656108597285067,Construction,25.676666666666666
Security Consultant,70,151,986,0.1531440162271805,Sales & Marketing,54.47666666666667
Embedded Systems Engineer,70,119,853,0.1395076201641266,Hospitality,62.653333333333336
Implementation Analyst,70,178,1156,0.1539792387543252,Communication & PR,54.723333333333336
Medical Billing Specialist,70,124,827,0.1499395405078597,Data & IT,57.54
Medical Collector,70,10,52,0.1923076923076923,Administrative & Clerical,69.93666666666667
Postal Clerk,70,10,52,0.1923076923076923,Leadership & Strategy,69.63666666666667
Distribution Clerk,70,10,52,0.1923076923076923,Medical & Healthcare,70.37
Purchasing Buyer,70,164,1427,0.114926419060967,Supply Chain & Logistics,58.74333333333333
Qa Software Tester,70,127,918,0.1383442265795207,Law Enforcement,61.263333333333335
Application Developer,70,151,1045,0.1444976076555024,Construction,55.2
Entry Level Developer,70,151,1033,0.1461761858664085,Sales & Marketing,32.77
Front End Developer,70,159,1104,0.1440217391304347,Hospitality,61.083333333333336
Front End Engineer,70,158,1093,0.1445562671546203,Communication & PR,63.82666666666667
Front End Web Developer,70,159,1055,0.1507109004739336,Data & IT,67.43333333333334
Full Stack Developer,70,154,1044,0.1475095785440613,Administrative & Clerical,55.96666666666667
J2Ee Developer,70,141,983,0.143438453713123,Leadership & Strategy,58.85
Robotics Engineer,70,111,804,0.1380597014925373,Medical & Healthcare,66.43
Appointment Scheduler,70,165,1212,0.1361386138613861,Supply Chain & Logistics,39.23
Desk Clerk,70,120,765,0.1568627450980392,Law Enforcement,57.723333333333336
Document Processor,70,178,1448,0.1229281767955801,Construction,46.06666666666667
Mailroom Clerk,70,135,1205,0.1120331950207468,Sales & Marketing,54.28333333333333
Office Cleaner,70,64,386,0.1658031088082901,Hospitality,31.75
Receiving Clerk,70,149,1307,0.1140015302218821,Communication & PR,51.28666666666667
Radiologic Technologist,70,75,549,0.1366120218579235,Data & IT,59.163333333333334
Radiology Technologist,70,75,549,0.1366120218579235,Administrative & Clerical,60.99333333333333
Ultrasound Technician,70,76,566,0.1342756183745583,Leadership & Strategy,61.71333333333333
Ultrasound Technologist,70,76,566,0.1342756183745583,Medical & Healthcare,54.71666666666667
Electrical Technician,70,6,45,0.1333333333333333,Supply Chain & Logistics,51.833333333333336
Flooring Installer,70,1,2,0.5,Law Enforcement,57.95
Technical Marketing Engineer,70,244,1576,0.1548223350253807,Construction,55.06666666666667
Web Content Editor,70,234,1986,0.1178247734138972,Sales & Marketing,36.19
Engineering Project Manager,70,176,1446,0.1217150760719225,Hospitality,65.29
Infrastructure Project Manager,70,176,1448,0.1215469613259668,Communication & PR,64.9
Sap Project Manager,70,10,52,0.1923076923076923,Data & IT,64.53666666666666
Software Product Manager,70,181,1472,0.1229619565217391,Administrative & Clerical,37.75666666666667
Technical Product Manager,70,183,1474,0.1241519674355495,Leadership & Strategy,53.45666666666666
Cashier,70,97,703,0.1379800853485064,Medical & Healthcare,59.68
Mystery Shopper,70,99,671,0.1475409836065573,Supply Chain & Logistics,56.916666666666664
Infrastructure Architect,70,148,1304,0.1134969325153374,Law Enforcement,44.46666666666667
Actuary,70,131,1251,0.1047162270183852,Construction,54.556666666666665
Arabic Linguist,70,113,859,0.1315483119906868,Sales & Marketing,61.733333333333334
Game Programmer,70,152,1318,0.1153262518968133,Hospitality,36.49666666666667
Mortgage Loan Processor,70,146,1322,0.1104387291981845,Communication & PR,59.696666666666665
Computational Linguist,70,139,912,0.1524122807017544,Data & IT,58.96666666666667
Bank Teller,70,113,824,0.137135922330097,Administrative & Clerical,62.29333333333334
Credit Analyst,70,169,1398,0.1208869814020028,Leadership & Strategy,47.373333333333335
Credit Officer,70,174,1452,0.1198347107438016,Medical & Healthcare,61.776666666666664
Credit Risk Analyst,70,171,1119,0.1528150134048257,Supply Chain & Logistics,61.403333333333336
Credit Specialist,70,170,1394,0.1219512195121951,Law Enforcement,58.9
Financial Analyst,70,172,1125,0.1528888888888888,Construction,61.13666666666666
Financial Specialist,70,174,1127,0.1543921916592724,Sales & Marketing,61.55
Fund Accountant,70,130,874,0.148741418764302,Hospitality,58.43
Payment Processor,70,149,1316,0.1132218844984802,Communication & PR,59.32666666666667
Payroll Processor,70,145,1302,0.1113671274961597,Data & IT,38.0
Tax Examiner,70,134,896,0.1495535714285714,Administrative & Clerical,57.17
Clinical Trial Assistant,70,136,886,0.1534988713318284,Leadership & Strategy,57.36333333333334
Cad Drafter,68,125,948,0.1318565400843881,Medical & Healthcare,51.013333333333335
Business Manager,68,164,1072,0.1529850746268656,Supply Chain & Logistics,62.31666666666667
Inpatient Coder,68,117,752,0.1555851063829787,Law Enforcement,56.18666666666667
Assistant Branch Manager,67,130,861,0.1509872241579558,Construction,57.62
Front Desk Attendant,67,126,886,0.1422121896162528,Sales & Marketing,62.586666666666666
Front Office Clerk,67,129,926,0.1393088552915766,Hospitality,66.20666666666666
Administrative Officer,65,133,865,0.153757225433526,Communication & PR,45.68333333333333
Administrative Specialist,65,134,866,0.1547344110854503,Data & IT,58.166666666666664
Branch Office Administrator,65,130,828,0.1570048309178744,Administrative & Clerical,52.8
Help Desk,65,133,1047,0.1270296084049665,Leadership & Strategy,53.946666666666665
Order Processor,65,129,927,0.1391585760517799,Medical & Healthcare,62.97
Title Clerk,65,107,704,0.1519886363636363,Supply Chain & Logistics,59.416666666666664
Warranty Clerk,65,116,816,0.142156862745098,Law Enforcement,58.26
Crm Analyst,65,164,1081,0.1517113783533765,Construction,61.016666666666666
Sales Operations Analyst,65,157,1053,0.1490978157644824,Sales & Marketing,57.35
Freelance,65,182,1206,0.1509121061359867,Hospitality,54.11
Technology,65,160,1099,0.1455868971792538,Communication & PR,60.64
Analog Design Engineer,65,134,913,0.1467688937568455,Data & IT,57.306666666666665
Automation Engineer,65,141,937,0.1504802561366061,Administrative & Clerical,55.85
Medical Claims Processor,65,140,836,0.1674641148325359,Leadership & Strategy,24.976666666666667
Logistics Clerk,65,124,1005,0.1233830845771144,Medical & Healthcare,55.6
Shipping,65,107,711,0.150492264416315,Supply Chain & Logistics,57.36666666666667
Executive Producer,65,182,1302,0.1397849462365591,Law Enforcement,62.733333333333334
.Net Developer,65,248,1734,0.1430219146482122,Construction,56.11666666666667
Abap Developer,65,242,1696,0.142688679245283,Sales & Marketing,37.99333333333333
Asp.Net Developer,65,245,1752,0.1398401826484018,Hospitality,26.266666666666666
Associate Software Engineer,65,245,1753,0.1397604107244723,Communication & PR,26.56
C Developer,65,242,1743,0.1388410786001147,Data & IT,52.52333333333333
C# Developer,65,248,1731,0.1432697862507221,Administrative & Clerical,58.39333333333333
Dot Net Developer,65,249,1735,0.1435158501440922,Leadership & Strategy,57.99666666666667
Firmware Engineer,65,238,1635,0.145565749235474,Medical & Healthcare,50.833333333333336
Bookkeeper,65,141,911,0.1547749725576289,Supply Chain & Logistics,54.36666666666667
Bookkeeping,65,139,914,0.1520787746170678,Law Enforcement,57.79333333333334
Commercial Analyst,65,157,1039,0.1511068334937439,Construction,62.17333333333333
Commission Analyst,65,159,1061,0.1498586239396795,Sales & Marketing,58.016666666666666
Corporate Financial Analyst,65,162,1056,0.1534090909090909,Hospitality,63.79333333333334
Cost Accountant,65,158,1067,0.148078725398313,Communication & PR,62.92333333333333
Derivatives Analyst,65,161,1059,0.1520302171860245,Data & IT,64.69333333333333
Energy Analyst,65,164,1066,0.1538461538461538,Administrative & Clerical,59.083333333333336
Environmental Analyst,65,164,1067,0.1537019681349578,Leadership & Strategy,63.81333333333333
Equity Analyst,65,162,1066,0.1519699812382739,Medical & Healthcare,49.5
Equity Research Analyst,65,162,1066,0.1519699812382739,Supply Chain & Logistics,63.54333333333334
Equity Research Associate,65,163,1067,0.1527647610121837,Law Enforcement,62.49
Finance Analyst,65,168,1242,0.1352657004830917,Construction,53.85333333333333
Finance Specialist,65,160,1218,0.1313628899835796,Sales & Marketing,58.49
Financial Auditor,65,154,983,0.1566632756866734,Hospitality,55.166666666666664
Forensic Accountant,65,157,996,0.1576305220883534,Communication & PR,59.95
Certified Professional Coder,65,129,798,0.1616541353383458,Data & IT,51.78666666666667
Junior Java Developer,65,247,1714,0.1441073512252042,Administrative & Clerical,54.82333333333333
Junior Software Engineer,65,243,1716,0.1416083916083916,Leadership & Strategy,53.263333333333335
Operations Research Analyst,65,174,1119,0.1554959785522788,Medical & Healthcare,58.483333333333334
Rpg Programmer,65,217,1279,0.1696637998436278,Supply Chain & Logistics,48.95
Clinical Data Analyst,65,220,1369,0.1607012417823228,Law Enforcement,49.31666666666667
Database Administrator,65,241,1372,0.1756559766763848,Construction,48.92666666666667
Healthcare Data Analyst,65,230,1609,0.1429459291485394,Sales & Marketing,51.156666666666666
Mainframe Programmer,65,226,1354,0.1669128508124076,Hospitality,50.96666666666667
Oracle Database Developer,65,242,1424,0.1699438202247191,Communication & PR,29.716666666666665
Sql Data Analyst,65,250,1459,0.1713502398903358,Data & IT,52.416666666666664
Armored Truck Driver,65,28,227,0.1233480176211453,Administrative & Clerical,55.083333333333336
Correctional Officer,65,37,280,0.1321428571428571,Leadership & Strategy,60.0
Deputy Director,65,122,829,0.1471652593486128,Medical & Healthcare,33.233333333333334
Forensic Chemist,65,54,423,0.1276595744680851,Supply Chain & Logistics,57.8
Safety Consultant,65,73,765,0.0954248366013071,Law Enforcement,55.5
Security Dispatcher,65,84,774,0.1085271317829457,Construction,57.36666666666667
Cad Operator,65,123,921,0.1335504885993485,Sales & Marketing,62.906666666666666
Cad Technician,65,124,922,0.1344902386117136,Hospitality,55.18666666666667
Game Artist,65,190,1453,0.1307639366827254,Communication & PR,52.596666666666664
Radiology Assistant,65,68,480,0.1416666666666666,Data & IT,55.42333333333333
Sonographer,65,57,412,0.1383495145631068,Administrative & Clerical,58.016666666666666
Ultrasonographer,65,59,438,0.1347031963470319,Leadership & Strategy,54.7
Vascular Sonographer,65,57,434,0.1313364055299539,Medical & Healthcare,62.46666666666667
Vascular Technician,65,57,434,0.1313364055299539,Supply Chain & Logistics,63.3
Vascular Technologist,65,57,434,0.1313364055299539,Law Enforcement,63.983333333333334
X Ray Technician,65,59,437,0.1350114416475972,Construction,36.89666666666667
Cleaner,65,6,27,0.2222222222222222,Sales & Marketing,50.65
Hospital Housekeeping,65,8,33,0.2424242424242424,Hospitality,24.166666666666668
Assembly Operator,65,59,495,0.1191919191919192,Communication & PR,31.283333333333335
Electronic Assembler,65,59,497,0.1187122736418511,Data & IT,30.05
Line Operator,65,58,488,0.1188524590163934,Administrative & Clerical,53.233333333333334
Survey Researcher,65,165,1079,0.1529193697868396,Leadership & Strategy,63.013333333333335
Web Content Manager,65,322,2266,0.1421006178287731,Medical & Healthcare,65.48333333333333
Electrical Drafter,65,123,920,0.133695652173913,Supply Chain & Logistics,62.28666666666667
Structural Designer,65,130,965,0.1347150259067357,Law Enforcement,49.82
Medical Biller,65,137,832,0.1646634615384615,Construction,25.04
Sales Associate,65,169,1197,0.1411862990810359,Sales & Marketing,42.04
Business Banking Relationship Manager,65,166,1126,0.147424511545293,Hospitality,57.53333333333333
Janitor,65,9,138,0.0652173913043478,Communication & PR,62.99333333333333
Autocad Drafter,65,162,1598,0.1013767209011264,Data & IT,61.10333333333333
Assistant Director,65,135,989,0.1365015166835187,Administrative & Clerical,56.763333333333335
Executive Personal Assistant,65,128,1018,0.1257367387033398,Leadership & Strategy,60.79
Pricing Specialist,65,164,1163,0.1410146173688736,Medical & Healthcare,52.69
Ticket Agent,64,93,834,0.1115107913669064,Supply Chain & Logistics,49.4
Contract Specialist,63,162,1161,0.1395348837209302,Law Enforcement,57.06
Freelancer,63,120,974,0.1232032854209445,Construction,57.82666666666667
Requirements Analyst,62,180,1595,0.1128526645768025,Sales & Marketing,40.163333333333334
Seo Consultant,61,166,1338,0.1240657698056801,Hospitality,42.346666666666664
Seo Manager,60,166,1334,0.1244377811094452,Communication & PR,51.333333333333336
Seo Specialist,60,168,1356,0.1238938053097345,Data & IT,54.68666666666667
Creative Project Manager,60,169,1604,0.105361596009975,Administrative & Clerical,57.38333333333333
Erp Project Manager,60,162,1497,0.1082164328657314,Leadership & Strategy,57.8
Healthcare Project Manager,60,169,1539,0.1098115659519168,Medical & Healthcare,58.15
Product Manager,60,195,1732,0.1125866050808314,Supply Chain & Logistics,41.93333333333333
Project Consultant,60,183,1636,0.1118581907090464,Law Enforcement,57.483333333333334
Project Manager,60,190,1686,0.1126927639383155,Construction,60.95
Customer Assistant,60,167,1340,0.1246268656716417,Sales & Marketing,42.04
Drafter,60,165,1622,0.1017262638717632,Hospitality,57.54
Junior Architect,60,148,1581,0.0936116382036685,Communication & PR,55.33
Space Planner,60,162,1553,0.1043142305215711,Data & IT,57.78333333333333
Truss Designer,60,160,1521,0.1051939513477975,Administrative & Clerical,52.5
Urban Planner,60,164,1559,0.1051956382296343,Leadership & Strategy,58.18333333333333
Insurance Sales,60,135,1031,0.1309408341416101,Medical & Healthcare,56.93666666666667
Insurance Sales Representative,60,135,1031,0.1309408341416101,Supply Chain & Logistics,57.43333333333333
Life Insurance Agent,60,133,1025,0.1297560975609756,Law Enforcement,57.093333333333334
Java Software Engineer,60,110,796,0.1381909547738693,Construction,59.32333333333333
Java Web Developer,60,110,796,0.1381909547738693,Sales & Marketing,59.60333333333333
Junior Developer,60,114,810,0.1407407407407407,Hospitality,59.32
Performance Analyst,60,176,1339,0.1314413741598207,Communication & PR,49.64666666666667
Risk Management Analyst,60,197,1658,0.1188178528347406,Data & IT,52.77
Salesforce Business Analyst,60,208,1694,0.1227863046044864,Administrative & Clerical,51.763333333333335
Data Analyst,60,217,1405,0.1544483985765124,Leadership & Strategy,47.54666666666667
Database Architect,60,170,1564,0.108695652173913,Medical & Healthcare,56.68333333333333
Health Data Analyst,60,206,1372,0.1501457725947521,Supply Chain & Logistics,55.3
Sql Dba,60,147,1447,0.1015894955079474,Law Enforcement,57.873333333333335
Sql Server Dba,60,148,1455,0.1017182130584192,Construction,59.126666666666665
Shipping Clerk,60,141,1102,0.1279491833030853,Sales & Marketing,49.343333333333334
Timekeeper,60,97,843,0.1150652431791221,Hospitality,57.55
Administration,60,108,879,0.1228668941979522,Communication & PR,52.03666666666667
Administrative Director,60,120,937,0.128068303094984,Data & IT,55.81
Assistant Administrator,60,119,926,0.1285097192224622,Administrative & Clerical,58.04333333333334
Compliance Analyst,60,187,1309,0.1428571428571428,Leadership & Strategy,51.93
Front Desk Coordinator,60,105,855,0.1228070175438596,Medical & Healthcare,52.86666666666667
Office Clerk,60,98,822,0.1192214111922141,Supply Chain & Logistics,57.20666666666666
Operations Clerk,60,108,890,0.1213483146067415,Law Enforcement,55.86666666666667
Procurement Clerk,60,115,907,0.1267916207276736,Construction,55.27333333333333
Receiver,60,50,311,0.1607717041800643,Sales & Marketing,47.473333333333336
Registration Clerk,60,85,710,0.1197183098591549,Hospitality,56.24
Registration Specialist,60,90,756,0.119047619047619,Communication & PR,49.27333333333333
Unit Secretary,60,96,834,0.1151079136690647,Data & IT,53.61666666666667
Healthcare Business Analyst,60,206,1671,0.1232794733692399,Administrative & Clerical,54.20333333333333
Surgery Scheduler,60,81,815,0.0993865030674846,Leadership & Strategy,53.75
Post Office,60,73,516,0.1414728682170542,Medical & Healthcare,38.43333333333333
Demand Planner,60,154,1120,0.1375,Supply Chain & Logistics,54.7
Logistics Coordinator,60,158,1201,0.1315570358034971,Law Enforcement,55.04
Procurement Agent,60,156,1123,0.138913624220837,Construction,52.46333333333333
Purchasing Coordinator,60,158,1201,0.1315570358034971,Sales & Marketing,56.25
Shipping Coordinator,60,160,1175,0.1361702127659574,Hospitality,52.49333333333333
