Job titiles,Domain,AI Impact,Model_AI_Impact,Job_Resilience_Score,Resilience_Level
Director Of Operations,Supply Chain & Logistics,87,69.27333333333333,30.726666666666674,Low Resilience
Direct Support Professional,Law Enforcement,86,55.41666666666666,44.58333333333334,Medium Resilience
Chief Communications Officer,Construction,85,66.91666666666667,33.08333333333333,Low Resilience
Administrative Clerk,Sales & Marketing,85,69.23666666666666,30.763333333333335,Low Resilience
Executive Assistant,Hospitality,85,58.52333333333333,41.47666666666667,Medium Resilience
General Office Clerk,Communication & PR,85,68.01666666666667,31.983333333333334,Low Resilience
Transcriber,Data & IT,85,61.75,38.25,Low Resilience
Sql Programmer,Administrative & Clerical,85,72.46666666666667,27.53333333333333,Low Resilience
Vba Developer,Leadership & Strategy,85,57.56,42.44,Medium Resilience
Medical Scribe,Medical & Healthcare,85,72.40666666666667,27.593333333333334,Low Resilience
Special Agent,Supply Chain & Logistics,85,70.0,30.0,Low Resilience
Purchasing Clerk,Law Enforcement,85,66.67666666666666,33.32333333333334,Low Resilience
Bricklayer,Construction,85,71.3,28.700000000000003,Low Resilience
Telemarketer,Sales & Marketing,85,68.43333333333334,31.566666666666663,Low Resilience
Bakery Manager,Hospitality,84,74.67333333333333,25.326666666666668,Low Resilience
Banquet Manager,Communication & PR,83,73.55666666666667,26.443333333333328,Low Resilience
Clerk Typist,Data & IT,83,61.553333333333335,38.446666666666665,Low Resilience
Assistant,Administrative & Clerical,82,59.13333333333333,40.86666666666667,Medium Resilience
Business Relationship Manager,Leadership & Strategy,82,31.973333333333333,68.02666666666667,Medium Resilience
Distribution Manager,Medical & Healthcare,80,59.99666666666667,40.00333333333333,Medium Resilience
Administrative Assistant,Supply Chain & Logistics,80,35.68333333333333,64.31666666666666,Medium Resilience
Administrative Secretary,Law Enforcement,80,68.67666666666666,31.323333333333338,Low Resilience
Clerical Assistant,Construction,80,63.376666666666665,36.623333333333335,Low Resilience
Executive Administrative Assistant,Sales & Marketing,80,71.4,28.599999999999994,Low Resilience
Order Filler,Hospitality,80,69.62666666666667,30.373333333333335,Low Resilience
Records Clerk,Communication & PR,80,68.11666666666666,31.88333333333334,Low Resilience
Scribe,Data & IT,80,35.63,64.37,Medium Resilience
Typist,Administrative & Clerical,80,63.83,36.17,Low Resilience
Dishwasher,Leadership & Strategy,80,71.05,28.950000000000003,Low Resilience
Digital Project Manager,Medical & Healthcare,80,63.66666666666666,36.33333333333334,Low Resilience
Technical Project Manager,Supply Chain & Logistics,80,64.53666666666666,35.46333333333334,Low Resilience
Grocer,Law Enforcement,80,69.36666666666666,30.63333333333334,Low Resilience
Finance Officer,Construction,80,68.75,31.25,Low Resilience
Word Processor,Sales & Marketing,80,56.51,43.49,Medium Resilience
Market Research Interviewer,Hospitality,80,63.64666666666667,36.35333333333333,Low Resilience
Pl Sql Developer,Communication & PR,80,68.41666666666667,31.58333333333333,Low Resilience
Quantitative Developer,Data & IT,80,63.06666666666667,36.93333333333333,Low Resilience
Statistical Programmer,Administrative & Clerical,80,74.46666666666667,25.53333333333333,Low Resilience
Tableau Developer,Leadership & Strategy,80,71.96,28.040000000000006,Low Resilience
Data Modeler,Medical & Healthcare,80,67.16666666666667,32.83333333333333,Low Resilience
Database Analyst,Supply Chain & Logistics,80,64.66,35.34,Low Resilience
Database Developer,Law Enforcement,80,63.14333333333333,36.85666666666667,Low Resilience
Etl Developer,Construction,80,75.32666666666667,24.673333333333332,Low Resilience
Hadoop Developer,Sales & Marketing,80,56.193333333333335,43.806666666666665,Medium Resilience
Sql Analyst,Hospitality,80,38.20333333333333,61.79666666666667,Medium Resilience
Procurement Assistant,Communication & PR,80,40.193333333333335,59.806666666666665,Medium Resilience
Receiving Associate,Data & IT,80,66.26666666666667,33.733333333333334,Low Resilience
Warehouse Associate,Administrative & Clerical,80,67.48333333333333,32.516666666666666,Low Resilience
Press Operator,Leadership & Strategy,80,47.46666666666667,52.53333333333333,Medium Resilience
Pressman,Medical & Healthcare,80,68.13333333333334,31.86666666666666,Low Resilience
Printing Press Operator,Supply Chain & Logistics,80,62.16666666666666,37.83333333333334,Low Resilience
Automation Test Engineer,Law Enforcement,80,73.73,26.269999999999996,Low Resilience
Automation Tester,Construction,80,73.38333333333334,26.61666666666666,Low Resilience
QA Automation Engineer,Sales & Marketing,80,69.36333333333333,30.63666666666667,Low Resilience
Tax Preparer,Hospitality,80,30.416666666666668,69.58333333333333,Medium Resilience
Associate,Communication & PR,79,41.63333333333333,58.36666666666667,Medium Resilience
Chief Learning Officer,Data & IT,79,66.81666666666666,33.18333333333334,Low Resilience
Web Project Manager,Administrative & Clerical,78,61.89666666666667,38.10333333333333,Low Resilience
Medical Coding Specialist,Leadership & Strategy,78,64.88,35.120000000000005,Low Resilience
Front Desk,Medical & Healthcare,77,56.73,43.27,Medium Resilience
Credit Manager,Supply Chain & Logistics,76,63.16,36.84,Low Resilience
Advertising Manager,Law Enforcement,75,65.05666666666667,34.94333333333333,Low Resilience
Caller,Construction,75,58.65,41.35,Medium Resilience
Phone Sales,Sales & Marketing,75,72.7,27.299999999999997,Low Resilience
Telesales Representative,Hospitality,75,65.34666666666666,34.653333333333336,Low Resilience
Accounting Clerk,Communication & PR,75,47.23333333333333,52.76666666666667,Medium Resilience
Administrative Associate,Data & IT,75,68.15333333333334,31.846666666666664,Low Resilience
Administrative Coordinator,Administrative & Clerical,75,70.1,29.900000000000006,Low Resilience
Corporate Receptionist,Leadership & Strategy,75,28.076666666666668,71.92333333333333,High Resilience
Desk Receptionist,Medical & Healthcare,75,55.72,44.28,Medium Resilience
Executive Secretary,Supply Chain & Logistics,75,41.626666666666665,58.373333333333335,Medium Resilience
Front Desk Clerk,Law Enforcement,75,57.72666666666667,42.27333333333333,Medium Resilience
Front Desk Receptionist,Construction,75,64.7,35.3,Low Resilience
Front Office Receptionist,Sales & Marketing,75,64.06666666666666,35.93333333333334,Low Resilience
Mail Sorter,Hospitality,75,39.45666666666666,60.54333333333334,Medium Resilience
Order Clerk,Communication & PR,75,49.17666666666667,50.82333333333333,Medium Resilience
Medical Coder,Data & IT,75,66.42666666666666,33.57333333333334,Low Resilience
Purchasing Assistant,Administrative & Clerical,75,60.13333333333333,39.86666666666667,Low Resilience
Supply Technician,Leadership & Strategy,75,66.03,33.97,Low Resilience
Android Developer,Medical & Healthcare,75,65.4,34.599999999999994,Low Resilience
Ios Developer,Supply Chain & Logistics,75,66.99,33.010000000000005,Low Resilience
Chief Of Staff,Law Enforcement,75,59.263333333333335,40.736666666666665,Medium Resilience
Intelligence Analyst,Construction,75,58.63666666666666,41.36333333333334,Medium Resilience
Photo Retoucher,Sales & Marketing,75,56.66,43.34,Medium Resilience
Full Charge Bookkeeper,Hospitality,75,39.22,60.78,Medium Resilience
Grant Accountant,Communication & PR,75,62.51,37.49,Low Resilience
Epic Analyst,Data & IT,75,40.84666666666666,59.15333333333334,Medium Resilience
It Project Manager,Administrative & Clerical,75,62.46666666666667,37.53333333333333,Low Resilience
Software Project Manager,Leadership & Strategy,75,65.29666666666667,34.70333333333333,Low Resilience
Technology Project Manager,Medical & Healthcare,75,68.38666666666667,31.61333333333333,Low Resilience
Cobol Developer,Supply Chain & Logistics,75,69.44666666666667,30.553333333333327,Low Resilience
Quantitative Analyst,Law Enforcement,75,68.48333333333333,31.516666666666666,Low Resilience
Quantitative Research Analyst,Construction,75,69.63333333333334,30.36666666666666,Low Resilience
Report Developer,Sales & Marketing,75,59.333333333333336,40.666666666666664,Medium Resilience
Sas Developer,Hospitality,75,60.196666666666665,39.803333333333335,Low Resilience
Statistical Analyst,Communication & PR,75,65.37,34.629999999999995,Low Resilience
Backend Developer,Data & IT,75,59.626666666666665,40.373333333333335,Medium Resilience
Data Architect,Administrative & Clerical,75,56.68666666666667,43.31333333333333,Medium Resilience
Database Designer,Leadership & Strategy,75,67.32,32.68000000000001,Low Resilience
Database Engineer,Medical & Healthcare,75,70.63666666666667,29.36333333333333,Low Resilience
Gis Developer,Supply Chain & Logistics,75,72.06666666666666,27.933333333333337,Low Resilience
Informatica Developer,Law Enforcement,75,69.06333333333333,30.936666666666667,Low Resilience
Ui Developer,Construction,75,61.73,38.27,Low Resilience
Ux Developer,Sales & Marketing,75,71.78333333333333,28.21666666666667,Low Resilience
Stenographer,Hospitality,75,57.96666666666667,42.03333333333333,Medium Resilience
Allocation Analyst,Communication & PR,74,61.41,38.59,Low Resilience
Business Operations Manager,Data & IT,71,59.77666666666666,40.22333333333334,Medium Resilience
Ecommerce,Administrative & Clerical,70,55.63333333333333,44.36666666666667,Medium Resilience
Solar Sales,Leadership & Strategy,70,55.15,44.85,Medium Resilience
Developer,Medical & Healthcare,70,45.06,54.94,Medium Resilience
Javascript Developer,Supply Chain & Logistics,70,37.7,62.3,Medium Resilience
Perl Developer,Law Enforcement,70,65.52333333333333,34.476666666666674,Low Resilience
Pega Developer,Construction,70,64.19,35.81,Low Resilience
Sap Developer,Sales & Marketing,70,67.53,32.47,Low Resilience
Clinical Informatics Specialist,Hospitality,70,53.21666666666667,46.78333333333333,Medium Resilience
Cloud Engineer,Communication & PR,70,52.71666666666667,47.28333333333333,Medium Resilience
Data Scientist,Data & IT,70,52.876666666666665,47.123333333333335,Medium Resilience
Database Programmer,Administrative & Clerical,70,63.5,36.5,Low Resilience
Information Assurance,Leadership & Strategy,70,64.63333333333334,35.36666666666666,Low Resilience
Oracle Developer,Medical & Healthcare,70,63.75,36.25,Low Resilience
Sql Database Developer,Supply Chain & Logistics,70,70.13666666666667,29.86333333333333,Low Resilience
Sql Developer,Law Enforcement,70,70.08666666666667,29.913333333333327,Low Resilience
Sql Server Developer,Construction,70,69.55,30.450000000000003,Low Resilience
Teradata Developer,Sales & Marketing,70,64.53333333333333,35.46666666666667,Low Resilience
Net Developer,Hospitality,70,67.66666666666667,32.33333333333333,Low Resilience
Sports Analyst,Communication & PR,70,62.98333333333333,37.01666666666667,Low Resilience
Chief Of Police,Data & IT,70,39.126666666666665,60.873333333333335,Medium Resilience
Emergency Dispatcher,Administrative & Clerical,70,53.04,46.96,Medium Resilience
Investigative Analyst,Leadership & Strategy,70,53.70333333333333,46.29666666666667,Medium Resilience
Police Dispatcher,Medical & Healthcare,70,62.36666666666667,37.63333333333333,Low Resilience
Polygraph Examiner,Supply Chain & Logistics,70,58.75,41.25,Medium Resilience
Public Safety Dispatcher,Law Enforcement,70,64.47666666666667,35.523333333333326,Low Resilience
Regulatory Analyst,Construction,70,25.676666666666662,74.32333333333334,High Resilience
Security Consultant,Sales & Marketing,70,54.47666666666667,45.52333333333333,Medium Resilience
Embedded Systems Engineer,Hospitality,70,62.653333333333336,37.346666666666664,Low Resilience
Implementation Analyst,Communication & PR,70,54.723333333333336,45.276666666666664,Medium Resilience
Medical Billing Specialist,Data & IT,70,57.54,42.46,Medium Resilience
Medical Collector,Administrative & Clerical,70,69.93666666666667,30.063333333333333,Low Resilience
Postal Clerk,Leadership & Strategy,70,69.63666666666667,30.36333333333333,Low Resilience
Distribution Clerk,Medical & Healthcare,70,70.37,29.629999999999995,Low Resilience
Purchasing Buyer,Supply Chain & Logistics,70,58.74333333333333,41.25666666666667,Medium Resilience
Qa Software Tester,Law Enforcement,70,61.263333333333335,38.736666666666665,Low Resilience
Application Developer,Construction,70,55.2,44.8,Medium Resilience
Entry Level Developer,Sales & Marketing,70,32.77,67.22999999999999,Medium Resilience
Front End Developer,Hospitality,70,61.083333333333336,38.916666666666664,Low Resilience
Front End Engineer,Communication & PR,70,63.82666666666667,36.17333333333333,Low Resilience
Front End Web Developer,Data & IT,70,67.43333333333334,32.56666666666666,Low Resilience
Full Stack Developer,Administrative & Clerical,70,55.96666666666667,44.03333333333333,Medium Resilience
J2Ee Developer,Leadership & Strategy,70,58.85,41.15,Medium Resilience
Robotics Engineer,Medical & Healthcare,70,66.43,33.56999999999999,Low Resilience
Appointment Scheduler,Supply Chain & Logistics,70,39.23,60.77,Medium Resilience
Desk Clerk,Law Enforcement,70,57.723333333333336,42.276666666666664,Medium Resilience
Document Processor,Construction,70,46.06666666666667,53.93333333333333,Medium Resilience
Mailroom Clerk,Sales & Marketing,70,54.28333333333333,45.71666666666667,Medium Resilience
Office Cleaner,Hospitality,70,31.75,68.25,Medium Resilience
Receiving Clerk,Communication & PR,70,51.28666666666667,48.71333333333333,Medium Resilience
Radiologic Technologist,Data & IT,70,59.16333333333333,40.83666666666667,Medium Resilience
Radiology Technologist,Administrative & Clerical,70,60.99333333333333,39.00666666666667,Low Resilience
Ultrasound Technician,Leadership & Strategy,70,61.71333333333333,38.28666666666667,Low Resilience
Ultrasound Technologist,Medical & Healthcare,70,54.71666666666667,45.28333333333333,Medium Resilience
Electrical Technician,Supply Chain & Logistics,70,51.833333333333336,48.166666666666664,Medium Resilience
Flooring Installer,Law Enforcement,70,57.95,42.05,Medium Resilience
Technical Marketing Engineer,Construction,70,55.06666666666667,44.93333333333333,Medium Resilience
Web Content Editor,Sales & Marketing,70,36.19,63.81,Medium Resilience
Engineering Project Manager,Hospitality,70,65.29,34.709999999999994,Low Resilience
Infrastructure Project Manager,Communication & PR,70,64.9,35.099999999999994,Low Resilience
Sap Project Manager,Data & IT,70,64.53666666666666,35.46333333333334,Low Resilience
Software Product Manager,Administrative & Clerical,70,37.75666666666667,62.24333333333333,Medium Resilience
Technical Product Manager,Leadership & Strategy,70,53.45666666666666,46.54333333333334,Medium Resilience
Cashier,Medical & Healthcare,70,59.68,40.32,Medium Resilience
Mystery Shopper,Supply Chain & Logistics,70,56.91666666666666,43.08333333333334,Medium Resilience
Infrastructure Architect,Law Enforcement,70,44.46666666666667,55.53333333333333,Medium Resilience
Actuary,Construction,70,54.556666666666665,45.443333333333335,Medium Resilience
Arabic Linguist,Sales & Marketing,70,61.73333333333333,38.26666666666667,Low Resilience
Game Programmer,Hospitality,70,36.49666666666667,63.50333333333333,Medium Resilience
Mortgage Loan Processor,Communication & PR,70,59.696666666666665,40.303333333333335,Medium Resilience
Computational Linguist,Data & IT,70,58.96666666666667,41.03333333333333,Medium Resilience
Bank Teller,Administrative & Clerical,70,62.29333333333334,37.70666666666666,Low Resilience
Credit Analyst,Leadership & Strategy,70,47.373333333333335,52.626666666666665,Medium Resilience
Credit Officer,Medical & Healthcare,70,61.77666666666666,38.22333333333334,Low Resilience
Credit Risk Analyst,Supply Chain & Logistics,70,61.403333333333336,38.596666666666664,Low Resilience
Credit Specialist,Law Enforcement,70,58.9,41.1,Medium Resilience
Financial Analyst,Construction,70,61.13666666666666,38.86333333333334,Low Resilience
Financial Specialist,Sales & Marketing,70,61.55,38.45,Low Resilience
Fund Accountant,Hospitality,70,58.43,41.57,Medium Resilience
Payment Processor,Communication & PR,70,59.32666666666667,40.67333333333333,Medium Resilience
Payroll Processor,Data & IT,70,38.0,62.0,Medium Resilience
Tax Examiner,Administrative & Clerical,70,57.17,42.83,Medium Resilience
Clinical Trial Assistant,Leadership & Strategy,70,57.36333333333334,42.63666666666666,Medium Resilience
Cad Drafter,Medical & Healthcare,68,51.013333333333335,48.986666666666665,Medium Resilience
Business Manager,Supply Chain & Logistics,68,62.31666666666667,37.68333333333333,Low Resilience
Inpatient Coder,Law Enforcement,68,56.18666666666667,43.81333333333333,Medium Resilience
Assistant Branch Manager,Construction,67,57.62,42.38,Medium Resilience
Front Desk Attendant,Sales & Marketing,67,62.586666666666666,37.413333333333334,Low Resilience
Front Office Clerk,Hospitality,67,66.20666666666666,33.79333333333334,Low Resilience
Administrative Officer,Communication & PR,65,45.68333333333333,54.31666666666667,Medium Resilience
Administrative Specialist,Data & IT,65,58.16666666666666,41.83333333333334,Medium Resilience
Branch Office Administrator,Administrative & Clerical,65,52.8,47.2,Medium Resilience
Help Desk,Leadership & Strategy,65,53.946666666666665,46.053333333333335,Medium Resilience
Order Processor,Medical & Healthcare,65,62.97,37.03,Low Resilience
Title Clerk,Supply Chain & Logistics,65,59.41666666666666,40.58333333333334,Medium Resilience
Warranty Clerk,Law Enforcement,65,58.26,41.74,Medium Resilience
Crm Analyst,Construction,65,61.016666666666666,38.983333333333334,Low Resilience
Sales Operations Analyst,Sales & Marketing,65,57.35,42.65,Medium Resilience
Freelance,Hospitality,65,54.11,45.89,Medium Resilience
Technology,Communication & PR,65,60.64,39.36,Low Resilience
Analog Design Engineer,Data & IT,65,57.306666666666665,42.693333333333335,Medium Resilience
Automation Engineer,Administrative & Clerical,65,55.85,44.15,Medium Resilience
Medical Claims Processor,Leadership & Strategy,65,24.976666666666667,75.02333333333334,High Resilience
Logistics Clerk,Medical & Healthcare,65,55.6,44.4,Medium Resilience
Shipping,Supply Chain & Logistics,65,57.36666666666667,42.63333333333333,Medium Resilience
Executive Producer,Law Enforcement,65,62.73333333333333,37.26666666666667,Low Resilience
.Net Developer,Construction,65,56.11666666666667,43.88333333333333,Medium Resilience
Abap Developer,Sales & Marketing,65,37.99333333333333,62.00666666666667,Medium Resilience
Asp.Net Developer,Hospitality,65,26.266666666666666,73.73333333333333,High Resilience
Associate Software Engineer,Communication & PR,65,26.56,73.44,High Resilience
C Developer,Data & IT,65,52.52333333333333,47.47666666666667,Medium Resilience
C# Developer,Administrative & Clerical,65,58.39333333333333,41.60666666666667,Medium Resilience
Dot Net Developer,Leadership & Strategy,65,57.99666666666667,42.00333333333333,Medium Resilience
Firmware Engineer,Medical & Healthcare,65,50.833333333333336,49.166666666666664,Medium Resilience
Bookkeeper,Supply Chain & Logistics,65,54.36666666666667,45.63333333333333,Medium Resilience
Bookkeeping,Law Enforcement,65,57.79333333333334,42.20666666666666,Medium Resilience
Commercial Analyst,Construction,65,62.17333333333333,37.82666666666667,Low Resilience
Commission Analyst,Sales & Marketing,65,58.016666666666666,41.983333333333334,Medium Resilience
Corporate Financial Analyst,Hospitality,65,63.79333333333334,36.20666666666666,Low Resilience
Cost Accountant,Communication & PR,65,62.92333333333333,37.07666666666667,Low Resilience
Derivatives Analyst,Data & IT,65,64.69333333333333,35.30666666666667,Low Resilience
Energy Analyst,Administrative & Clerical,65,59.083333333333336,40.916666666666664,Medium Resilience
Environmental Analyst,Leadership & Strategy,65,63.81333333333333,36.18666666666667,Low Resilience
Equity Analyst,Medical & Healthcare,65,49.5,50.5,Medium Resilience
Equity Research Analyst,Supply Chain & Logistics,65,63.54333333333334,36.45666666666666,Low Resilience
Equity Research Associate,Law Enforcement,65,62.49,37.51,Low Resilience
Finance Analyst,Construction,65,53.85333333333333,46.14666666666667,Medium Resilience
Finance Specialist,Sales & Marketing,65,58.49,41.51,Medium Resilience
Financial Auditor,Hospitality,65,55.16666666666666,44.83333333333334,Medium Resilience
Forensic Accountant,Communication & PR,65,59.95,40.05,Medium Resilience
Certified Professional Coder,Data & IT,65,51.78666666666667,48.21333333333333,Medium Resilience
Junior Java Developer,Administrative & Clerical,65,54.82333333333333,45.17666666666667,Medium Resilience
Junior Software Engineer,Leadership & Strategy,65,53.263333333333335,46.736666666666665,Medium Resilience
Operations Research Analyst,Medical & Healthcare,65,58.48333333333333,41.51666666666667,Medium Resilience
Rpg Programmer,Supply Chain & Logistics,65,48.95,51.05,Medium Resilience
Clinical Data Analyst,Law Enforcement,65,49.31666666666667,50.68333333333333,Medium Resilience
Database Administrator,Construction,65,48.92666666666667,51.07333333333333,Medium Resilience
Healthcare Data Analyst,Sales & Marketing,65,51.156666666666666,48.843333333333334,Medium Resilience
Mainframe Programmer,Hospitality,65,50.96666666666667,49.03333333333333,Medium Resilience
Oracle Database Developer,Communication & PR,65,29.716666666666665,70.28333333333333,High Resilience
Sql Data Analyst,Data & IT,65,52.41666666666666,47.58333333333334,Medium Resilience
Armored Truck Driver,Administrative & Clerical,65,55.083333333333336,44.916666666666664,Medium Resilience
Correctional Officer,Leadership & Strategy,65,60.0,40.0,Low Resilience
Deputy Director,Medical & Healthcare,65,33.233333333333334,66.76666666666667,Medium Resilience
Forensic Chemist,Supply Chain & Logistics,65,57.8,42.2,Medium Resilience
Safety Consultant,Law Enforcement,65,55.5,44.5,Medium Resilience
Security Dispatcher,Construction,65,57.36666666666667,42.63333333333333,Medium Resilience
Cad Operator,Sales & Marketing,65,62.906666666666666,37.093333333333334,Low Resilience
Cad Technician,Hospitality,65,55.18666666666667,44.81333333333333,Medium Resilience
Game Artist,Communication & PR,65,52.59666666666666,47.40333333333334,Medium Resilience
Radiology Assistant,Data & IT,65,55.42333333333333,44.57666666666667,Medium Resilience
Sonographer,Administrative & Clerical,65,58.016666666666666,41.983333333333334,Medium Resilience
Ultrasonographer,Leadership & Strategy,65,54.7,45.3,Medium Resilience
Vascular Sonographer,Medical & Healthcare,65,62.46666666666667,37.53333333333333,Low Resilience
Vascular Technician,Supply Chain & Logistics,65,63.3,36.7,Low Resilience
Vascular Technologist,Law Enforcement,65,63.98333333333333,36.01666666666667,Low Resilience
X Ray Technician,Construction,65,36.89666666666667,63.10333333333333,Medium Resilience
Cleaner,Sales & Marketing,65,50.65,49.35,Medium Resilience
Hospital Housekeeping,Hospitality,65,24.166666666666668,75.83333333333333,High Resilience
Assembly Operator,Communication & PR,65,31.28333333333333,68.71666666666667,Medium Resilience
Electronic Assembler,Data & IT,65,30.05,69.95,Medium Resilience
Line Operator,Administrative & Clerical,65,53.23333333333333,46.76666666666667,Medium Resilience
Survey Researcher,Leadership & Strategy,65,63.013333333333335,36.986666666666665,Low Resilience
Web Content Manager,Medical & Healthcare,65,65.48333333333333,34.516666666666666,Low Resilience
Electrical Drafter,Supply Chain & Logistics,65,62.28666666666667,37.71333333333333,Low Resilience
Structural Designer,Law Enforcement,65,49.82,50.18,Medium Resilience
Medical Biller,Construction,65,25.04,74.96000000000001,High Resilience
Sales Associate,Sales & Marketing,65,42.04,57.96,Medium Resilience
Business Banking Relationship Manager,Hospitality,65,57.53333333333333,42.46666666666667,Medium Resilience
Janitor,Communication & PR,65,62.99333333333333,37.00666666666667,Low Resilience
Autocad Drafter,Data & IT,65,61.10333333333333,38.89666666666667,Low Resilience
Assistant Director,Administrative & Clerical,65,56.763333333333335,43.236666666666665,Medium Resilience
Executive Personal Assistant,Leadership & Strategy,65,60.79,39.21,Low Resilience
Pricing Specialist,Medical & Healthcare,65,52.69,47.31,Medium Resilience
Ticket Agent,Supply Chain & Logistics,64,49.4,50.6,Medium Resilience
Contract Specialist,Law Enforcement,63,57.06,42.94,Medium Resilience
Freelancer,Construction,63,57.82666666666667,42.17333333333333,Medium Resilience
Requirements Analyst,Sales & Marketing,62,40.16333333333333,59.83666666666667,Medium Resilience
Seo Consultant,Hospitality,61,42.34666666666666,57.65333333333334,Medium Resilience
Seo Manager,Communication & PR,60,51.333333333333336,48.666666666666664,Medium Resilience
Seo Specialist,Data & IT,60,54.68666666666667,45.31333333333333,Medium Resilience
Creative Project Manager,Administrative & Clerical,60,57.38333333333333,42.61666666666667,Medium Resilience
Erp Project Manager,Leadership & Strategy,60,57.8,42.2,Medium Resilience
Healthcare Project Manager,Medical & Healthcare,60,58.15,41.85,Medium Resilience
Product Manager,Supply Chain & Logistics,60,41.93333333333333,58.06666666666667,Medium Resilience
Project Consultant,Law Enforcement,60,57.48333333333333,42.51666666666667,Medium Resilience
Project Manager,Construction,60,60.95,39.05,Low Resilience
Customer Assistant,Sales & Marketing,60,42.04,57.96,Medium Resilience
Drafter,Hospitality,60,57.54,42.46,Medium Resilience
Junior Architect,Communication & PR,60,55.33,44.67,Medium Resilience
Space Planner,Data & IT,60,57.78333333333333,42.21666666666667,Medium Resilience
Truss Designer,Administrative & Clerical,60,52.5,47.5,Medium Resilience
Urban Planner,Leadership & Strategy,60,58.18333333333333,41.81666666666667,Medium Resilience
Insurance Sales,Medical & Healthcare,60,56.93666666666667,43.06333333333333,Medium Resilience
Insurance Sales Representative,Supply Chain & Logistics,60,57.43333333333333,42.56666666666667,Medium Resilience
Life Insurance Agent,Law Enforcement,60,57.09333333333333,42.90666666666667,Medium Resilience
Java Software Engineer,Construction,60,59.32333333333333,40.67666666666667,Medium Resilience
Java Web Developer,Sales & Marketing,60,59.60333333333333,40.39666666666667,Medium Resilience
Junior Developer,Hospitality,60,59.32,40.68,Medium Resilience
Performance Analyst,Communication & PR,60,49.64666666666667,50.35333333333333,Medium Resilience
Risk Management Analyst,Data & IT,60,52.77,47.23,Medium Resilience
Salesforce Business Analyst,Administrative & Clerical,60,51.763333333333335,48.236666666666665,Medium Resilience
Data Analyst,Leadership & Strategy,60,47.54666666666667,52.45333333333333,Medium Resilience
Database Architect,Medical & Healthcare,60,56.68333333333333,43.31666666666667,Medium Resilience
Health Data Analyst,Supply Chain & Logistics,60,55.3,44.7,Medium Resilience
Sql Dba,Law Enforcement,60,57.873333333333335,42.126666666666665,Medium Resilience
Sql Server Dba,Construction,60,59.126666666666665,40.873333333333335,Medium Resilience
Shipping Clerk,Sales & Marketing,60,49.34333333333333,50.65666666666667,Medium Resilience
Timekeeper,Hospitality,60,57.55,42.45,Medium Resilience
Administration,Communication & PR,60,52.03666666666667,47.96333333333333,Medium Resilience
Administrative Director,Data & IT,60,55.81,44.19,Medium Resilience
Assistant Administrator,Administrative & Clerical,60,58.04333333333334,41.95666666666666,Medium Resilience
Compliance Analyst,Leadership & Strategy,60,51.93,48.07,Medium Resilience
Front Desk Coordinator,Medical & Healthcare,60,52.86666666666667,47.13333333333333,Medium Resilience
Office Clerk,Supply Chain & Logistics,60,57.20666666666666,42.79333333333334,Medium Resilience
Operations Clerk,Law Enforcement,60,55.86666666666667,44.13333333333333,Medium Resilience
Procurement Clerk,Construction,60,55.27333333333333,44.72666666666667,Medium Resilience
Receiver,Sales & Marketing,60,47.473333333333336,52.526666666666664,Medium Resilience
Registration Clerk,Hospitality,60,56.24,43.76,Medium Resilience
